2864	1	-	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
4364	1	-	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1A8E0100 00000001 1C0001C8 00011B00
9374	1	10	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
20244	1	9	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1AC20700 00000001 1C0001C8 00011B00
23014	9	1	 26: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 0064FD00 00
26424	1	9	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
28594	9	1	 96: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 01E1F51E F1020008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
31334	9	-	101: 15.4 D F7:7E:00:09:00:09:00:09 00:01:00:01:00:01:00:01|00E03A06 6304001E 02009B02 3DB31EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000209 00090009 00090614 0000001E FD000000 00000000 02010001 00010001
31504	9	1,3,10	101: 15.4 D F7:7E:00:09:00:09:00:09 00:01:00:01:00:01:00:01|00E03A06 6304001E 02009B02 3DB31EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000209 00090009 00090614 0000001E FD000000 00000000 02010001 00010001
31508	1	-	 19: 15.4 A |020F0000
31584	1	3,9,10	 35: 15.4 D F7:7A:00:01:00:01:00:01 00:09:00:09:00:09:00:09|003A9B03 578F1E00 F100
31586	9	-	 19: 15.4 A |020F0000
31674	9	1	101: 15.4 D F7:7E:00:09:00:09:00:09 00:01:00:01:00:01:00:01|00E03A06 6304001E 02009B02 3DB31EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000209 00090009 00090614 0000001E FD000000 00000000 02010001 00010001
31678	1	5,9	 19: 15.4 A |020F0000
31754	1	5,9	 35: 15.4 D F7:7A:00:01:00:01:00:01 00:09:00:09:00:09:00:09|003A9B03 578F1E00 F100
31756	9	-	 19: 15.4 A |020F0000
31924	1	2,9	 35: 15.4 D F7:7A:00:01:00:01:00:01 00:09:00:09:00:09:00:09|003A9B03 578F1E00 F100
31926	9	1,2	 19: 15.4 A |020F0000
33244	1	9	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
34794	9	-	 96: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 01E1F51E F1020008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
36124	1	-	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1AF60D00 00000001 1C0001C8 00011B00
40174	9	-	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1A8B0F00 00000301 1C0001C8 00011B00
44764	9	1,3	 23: 15.4 D 64:7B:00:09:00:09:00:09 00:01:00:01:00:01:00:01
44765	1	-	 19: 15.4 A |020F0000
44934	9	-	 23: 15.4 D 64:7B:00:09:00:09:00:09 00:01:00:01:00:01:00:01
45104	9	-	 23: 15.4 D 64:7B:00:09:00:09:00:09 00:01:00:01:00:01:00:01
45274	9	1,2,10	 23: 15.4 D 64:7B:00:09:00:09:00:09 00:01:00:01:00:01:00:01
45275	1	2,9,10	 19: 15.4 A |020F0000
46264	1	9	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
50294	9	-	 96: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 01E1E91E F1020C08 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
52004	1	-	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1A2A1400 00000001 1C0001C8 00011B00
56054	9	-	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1ABF1500 00000301 1C0001C8 00011B00
57854	9	1,2	 23: 15.4 D F7:32:00:09:00:09:00:09 00:01:00:01:00:01:00:01
57855	1	-	 19: 15.4 A |020F0000
58024	9	1,10	 23: 15.4 D F7:32:00:09:00:09:00:09 00:01:00:01:00:01:00:01
58025	1	5,9,10	 19: 15.4 A |020F0000
67884	1	-	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1A5E1A00 00000001 1C0001C8 00011B00
69754	9	1,3	 23: 15.4 D 4A:F8:00:09:00:09:00:09 00:01:00:01:00:01:00:01
69755	1	-	 19: 15.4 A |020F0000
69924	9	1	 23: 15.4 D 4A:F8:00:09:00:09:00:09 00:01:00:01:00:01:00:01
69925	1	9	 19: 15.4 A |020F0000
71934	9	3,10	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1AF31B00 00000301 1C0001C8 00011B00
74164	1	3,9,10	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
75844	3	5	 37: 15.4 - 00:00:03:00:03:00:03:00 0x03FF|3F118806 1A7A1D00 00000301 1C0001C8 00011B00
76644	3	-	 96: 15.4 D 7A:00:03:00:03:00:03:00 0x03FF|3B3A1A9B 01E20D1E F1020008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
