4364	1	-	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1A8E0100 00000001 1C0001C8 00011B00
4414	1	-	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01CF161E F1010018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
9064	1	2,5	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01CF161E F1010018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
20244	1	9	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1AC20700 00000001 1C0001C8 00011B00
23014	9	1	 26: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 0064FD00 00
26424	1	9	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01CF161E F1010018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
28594	9	1	 96: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 01C7F61E F1080018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
31334	9	1	102: 15.4 D 3F:00:00:09:00:09:00:09 00:01:00:01:00:01:00:01|14A8CAA8 008F0901 800C1700 01120C17 0C170101 000100F8 7A333A9B 0239D81E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 09000900 09000906 04000000 1E
31338	1	9	 19: 15.4 A |020F0000
31414	1	9	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:09:00:09:00:09:00:09|3A9B0354 8F1E00F1 00
31416	9	1	 19: 15.4 A |020F0000
33244	1	9	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01CF161E F1010018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
34794	9	1,2,3	 96: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 01C9F61E F1060018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
36124	1	5,9	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1AF60D00 00000001 1C0001C8 00011B00
40174	9	3	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1A8B0F00 00000501 1C0001C8 00011B00
46574	1	3,5,9,10	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01CF161E F1010018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
50294	5	1,3	 96: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 01C8061E F1080018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
50604	3	9,10	 96: 15.4 D 7A:00:03:00:03:00:03:00 0x03FF|3B3A1A9B 01C80E1E F1080018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
52004	1	5,9,10	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1A2A1400 00000001 1C0001C8 00011B00
52044	5	-	 37: 15.4 - 00:00:05:00:05:00:05:00 0x05FF|3F118806 1A2E1400 00000701 1C0001C8 00011B00
52414	5	-	102: 15.4 D 3F:00:00:05:00:05:00:05 00:01:00:01:00:01:00:01|14A8CAA8 008F0501 80145300 00D90051 00250101 000100F8 7A333A9B 0239F81E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 05000500 05000506 04000000 1E
52414	3	-	103: 15.4 D 3F:00:00:03:00:03:00:03 00:01:00:01:00:01:00:01|15A8CAA8 008F0301 80145300 00BB1453 14530101 00010500 F87A333A 9B023A08 1EC000F1 FD000000 00000000 02010001 00010001 05120080 FD000000 00000000 02030003 00030003 06040000 001E
52584	5	1	102: 15.4 D 3F:00:00:05:00:05:00:05 00:01:00:01:00:01:00:01|14A8CAA8 008F0501 80145300 00D90051 00250101 000100F8 7A333A9B 0239F81E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 05000500 05000506 04000000 1E
52588	1	5	 19: 15.4 A |020F0000
52754	3	1,6	103: 15.4 D 3F:00:00:03:00:03:00:03 00:01:00:01:00:01:00:01|15A8CAA8 008F0301 80145300 00BB1453 14530101 00010500 F87A333A 9B023A08 1EC000F1 FD000000 00000000 02010001 00010001 05120080 FD000000 00000000 02030003 00030003 06040000 001E
52758	1	2,3	 19: 15.4 A |020F0000
52794	1	5	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:05:00:05:00:05:00:05|3A9B0354 9F1E00F1 00
52796	5	1,2	 19: 15.4 A |020F0000
52944	1	3	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:03:00:03:00:03:00:03|3A9B0354 A71E00F1 00
52946	3	4	 19: 15.4 A |020F0000
53114	1	3	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:03:00:03:00:03:00:03|3A9B0354 A71E00F1 00
53116	3	1,6	 19: 15.4 A |020F0000
54944	9	1,3,10	 96: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 01C9F61E F1060018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
56054	9	10	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1ABF1500 00000501 1C0001C8 00011B00
57424	3	1,5,6,10	 96: 15.4 D 7A:00:03:00:03:00:03:00 0x03FF|3B3A1A9B 01C90E1E F1070018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
58044	5	-	 96: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 01C9061E F1070018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
58354	10	1,3,5,9	 96: 15.4 D 7A:00:0A:00:0A:00:0A:00 0x0AFF|3B3A1A9B 01C2F21E F10D0018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
60034	10	-	 37: 15.4 - 00:00:0A:00:0A:00:0A:00 0x0AFF|3F118806 1A4D1700 00000C01 1C0001C8 00011B00
60144	10	9	103: 15.4 D 3F:00:00:0A:00:0A:00:0A 00:09:00:09:00:09:00:09|15A8CAA8 008F0A01 80175800 00CC0056 000B0909 00090300 F87A333A 9B0239B0 1EC000F1 FD000000 00000000 02010001 00010001 05120080 FD000000 00000000 020A000A 000A000A 06040000 001E
60148	9	10	 19: 15.4 A |020F0000
60234	9	1	103: 15.4 D 3F:00:00:09:00:09:00:09 00:01:00:01:00:01:00:01|15A8CAA8 008F0A01 80175800 00CC0056 000B0909 00090300 F87A333A 9B0239D3 1EC000F2 FD000000 00000000 02010001 00010001 05120080 FD000000 00000000 020A000A 000A000A 06040000 001E
60238	1	9	 19: 15.4 A |020F0000
60314	1	9	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:09:00:09:00:09:00:09|3A9B0353 8F1E00F2 00
60316	9	1	 19: 15.4 A |020F0000
60324	9	2,10	 34: 15.4 D 33:7A:00:09:00:09:00:09 00:0A:00:0A:00:0A:00:0A|3A9B0354 6B1E00F1 00
60326	10	2,9	 19: 15.4 A |020F0000
63934	3	-	 37: 15.4 - 00:00:03:00:03:00:03:00 0x03FF|3F118806 1AD31800 00000601 1C0001C8 00011B00
64144	5	1,7,8	 23: 15.4 D 8E:EC:00:05:00:05:00:05 00:01:00:01:00:01:00:01
64145	1	5	 19: 15.4 A |020F0000
64244	10	1,3,5,9	 96: 15.4 D 7A:00:0A:00:0A:00:0A:00 0x0AFF|3B3A1A9B 01C4F21E F10B0018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
64824	3	1	 23: 15.4 D D9:7F:00:03:00:03:00:03 00:01:00:01:00:01:00:01
64825	1	3	 19: 15.4 A |020F0000
67654	5	1,2,3,4,8,10	 96: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 01CB061E F1050018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
67884	1	-	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1A5E1A00 00000001 1C0001C8 00011B00
67924	5	7,10	 37: 15.4 - 00:00:05:00:05:00:05:00 0x05FF|3F118806 1A621A00 00000601 1C0001C8 00011B00
67964	10	1,3,5	104: 15.4 D 3F:00:00:0A:00:0A:00:0A 00:09:00:09:00:09:00:09|16A8CAA8 018F0A01 801A5500 017C0353 03080505 00090305 00F87A33 3A9B023A 4D1E4000 F2FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020A00 0A000A00 0A060400 000000
68274	10	1,3,5,9	104: 15.4 D 3F:00:00:0A:00:0A:00:0A 00:09:00:09:00:09:00:09|16A8CAA8 018F0A01 801A5500 017C0353 03080505 00090305 00F87A33 3A9B023A 4D1E4000 F2FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020A00 0A000A00 0A060400 000000
68278	9	10	 19: 15.4 A |020F0000
68394	9	1	104: 15.4 D 3F:00:00:09:00:09:00:09 00:01:00:01:00:01:00:01|16A8CAA8 018F0A01 801A5500 017C0353 03080505 00090305 00F87A33 3A9B023A 701E4000 F3FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020A00 0A000A00 0A060400 000000
68398	1	9	 19: 15.4 A |020F0000
70134	10	1,3,9	 96: 15.4 D 7A:00:0A:00:0A:00:0A:00 0x0AFF|3B3A1A9B 01C3F11E F10C0018 F10000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
70814	10	5	104: 15.4 D 3F:00:00:0A:00:0A:00:0A 00:05:00:05:00:05:00:05|16A8CAA8 028F0A01 801B7700 00380475 042A0505 00090305 00F87A33 3A9B0239 BE1EC000 F3FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020A00 0A000A00 0A060400 00001E
70818	5	4,10	 19: 15.4 A |020F0000
70944	5	1	104: 15.4 D 3F:00:00:05:00:05:00:05 00:01:00:01:00:01:00:01|16A8CAA8 028F0A01 801B7700 00380475 042A0505 00090305 00F87A33 3A9B0239 E31EC000 F2FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020A00 0A000A00 0A060400 00001E
70948	1	5	 19: 15.4 A |020F0000
70984	1	-	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:05:00:05:00:05:00:05|3A9B0353 9F1E00F2 00
71154	1	5	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:05:00:05:00:05:00:05|3A9B0353 9F1E00F2 00
71156	5	1,8	 19: 15.4 A |020F0000
71204	5	2,4,10	 34: 15.4 D 33:7A:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A|3A9B0352 7B1E00F3 00
71206	10	2,5	 19: 15.4 A |020F0000
71934	9	-	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1AF31B00 00000501 1C0001C8 00011B00
71994	3	1,4,5,6,9,10	 96: 15.4 D 7A:00:03:00:03:00:03:00 0x03FF|3B3A1A9B 01CB0E1E F1050018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A070001 00000000 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
